ID,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Rank,TaxonName,Lineage
22,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,,,,Family,Rudiviridae,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae
23,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Azorudivirus,,,Genus,Azorudivirus,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Azorudivirus
24,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Azorudivirus,,Azorudivirus SRV,Species,Azorudivirus SRV,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Azorudivirus;Azorudivirus SRV
25,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Hoswirudivirus,,,Genus,Hoswirudivirus,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Hoswirudivirus
26,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Hoswirudivirus,,Hoswirudivirus ARV2,Species,Hoswirudivirus ARV2,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Hoswirudivirus;Hoswirudivirus ARV2
27,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Hoswirudivirus,,Hoswirudivirus ARV3,Species,Hoswirudivirus ARV3,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Hoswirudivirus;Hoswirudivirus ARV3
28,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Hoswirudivirus,,Hoswirudivirus MRV1,Species,Hoswirudivirus MRV1,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Hoswirudivirus;Hoswirudivirus MRV1
29,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Hoswirudivirus,,Hoswirudivirus SSRV1,Species,Hoswirudivirus SSRV1,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Hoswirudivirus;Hoswirudivirus SSRV1
30,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Icerudivirus,,,Genus,Icerudivirus,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Icerudivirus
31,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Icerudivirus,,Icerudivirus SIRV1,Species,Icerudivirus SIRV1,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Icerudivirus;Icerudivirus SIRV1
32,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Icerudivirus,,Icerudivirus SIRV2,Species,Icerudivirus SIRV2,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Icerudivirus;Icerudivirus SIRV2
33,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Icerudivirus,,Icerudivirus SIRV3,Species,Icerudivirus SIRV3,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Icerudivirus;Icerudivirus SIRV3
34,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Itarudivirus,,,Genus,Itarudivirus,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Itarudivirus
35,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Itarudivirus,,Itarudivirus ARV1,Species,Itarudivirus ARV1,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Itarudivirus;Itarudivirus ARV1
36,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Japarudivirus,,,Genus,Japarudivirus,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Japarudivirus
37,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Japarudivirus,,Japarudivirus SBRV1,Species,Japarudivirus SBRV1,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Japarudivirus;Japarudivirus SBRV1
38,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Mexirudivirus,,,Genus,Mexirudivirus,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Mexirudivirus
39,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Mexirudivirus,,Mexirudivirus SMRV1,Species,Mexirudivirus SMRV1,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Mexirudivirus;Mexirudivirus SMRV1
40,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,,Genus,Usarudivirus,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Usarudivirus
41,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Usarudivirus SIRV4,Species,Usarudivirus SIRV4,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Usarudivirus;Usarudivirus SIRV4
42,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Usarudivirus SIRV5,Species,Usarudivirus SIRV5,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Usarudivirus;Usarudivirus SIRV5
43,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Usarudivirus SIRV8,Species,Usarudivirus SIRV8,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Usarudivirus;Usarudivirus SIRV8
44,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Usarudivirus SIRV9,Species,Usarudivirus SIRV9,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Usarudivirus;Usarudivirus SIRV9
45,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Usarudivirus SIRV10,Species,Usarudivirus SIRV10,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Usarudivirus;Usarudivirus SIRV10
46,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Usarudivirus SIRV11,Species,Usarudivirus SIRV11,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Usarudivirus;Usarudivirus SIRV11
47,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Primavirales,,,,,,,Order,Primavirales,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Primavirales
48,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Primavirales,,Tristromaviridae,,,,,Family,Tristromaviridae,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Primavirales;Tristromaviridae
49,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Primavirales,,Tristromaviridae,,Alphatristromavirus,,,Genus,Alphatristromavirus,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Primavirales;Tristromaviridae;Alphatristromavirus
50,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Primavirales,,Tristromaviridae,,Alphatristromavirus,,Alphatristromavirus PFV1,Species,Alphatristromavirus PFV1,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Primavirales;Tristromaviridae;Alphatristromavirus;Alphatristromavirus PFV1
51,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Primavirales,,Tristromaviridae,,Alphatristromavirus,,Alphatristromavirus PFV2,Species,Alphatristromavirus PFV2,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Primavirales;Tristromaviridae;Alphatristromavirus;Alphatristromavirus PFV2
52,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Primavirales,,Tristromaviridae,,Betatristromavirus,,,Genus,Betatristromavirus,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Primavirales;Tristromaviridae;Betatristromavirus
53,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Primavirales,,Tristromaviridae,,Betatristromavirus,,Betatristromavirus TTV1,Species,Betatristromavirus TTV1,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Primavirales;Tristromaviridae;Betatristromavirus;Betatristromavirus TTV1
54,Duplodnaviria,,,,,,,,,,,,,,,Realm,Duplodnaviria,Duplodnaviria
55,Duplodnaviria,,Heunggongvirae,,,,,,,,,,,,,Kingdom,Heunggongvirae,Duplodnaviria;Heunggongvirae
56,Duplodnaviria,,Heunggongvirae,,Peploviricota,,,,,,,,,,,Phylum,Peploviricota,Duplodnaviria;Heunggongvirae;Peploviricota
57,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,,,,,,,,Class,Herviviricetes,Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes
58,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,,,,,,Order,Herpesvirales,Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales
59,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,,,,Family,Alloherpesviridae,Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Alloherpesviridae
60,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Batrachovirus,,,Genus,Batrachovirus,Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Alloherpesviridae;Batrachovirus
61,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Batrachovirus,,Ranid herpesvirus 1,Species,Ranid herpesvirus 1,Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Alloherpesviridae;Batrachovirus;Ranid herpesvirus 1
62,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Batrachovirus,,Ranid herpesvirus 2,Species,Ranid herpesvirus 2,Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Alloherpesviridae;Batrachovirus;Ranid herpesvirus 2
63,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Batrachovirus,,Ranid herpesvirus 3,Species,Ranid herpesvirus 3,Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Alloherpesviridae;Batrachovirus;Ranid herpesvirus 3
64,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Cyprinivirus,,,Genus,Cyprinivirus,Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Alloherpesviridae;Cyprinivirus
65,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Cyprinivirus,,Anguillid herpesvirus 1,Species,Anguillid herpesvirus 1,Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Alloherpesviridae;Cyprinivirus;Anguillid herpesvirus 1
66,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Cyprinivirus,,Cyprinid herpesvirus 1,Species,Cyprinid herpesvirus 1,Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Alloherpesviridae;Cyprinivirus;Cyprinid herpesvirus 1
67,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Cyprinivirus,,Cyprinid herpesvirus 2,Species,Cyprinid herpesvirus 2,Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Alloherpesviridae;Cyprinivirus;Cyprinid herpesvirus 2
68,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Cyprinivirus,,Cyprinid herpesvirus 3,Species,Cyprinid herpesvirus 3,Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Alloherpesviridae;Cyprinivirus;Cyprinid herpesvirus 3
69,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Ictalurivirus,,,Genus,Ictalurivirus,Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Alloherpesviridae;Ictalurivirus
70,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Ictalurivirus,,Acipenserid herpesvirus 2,Species,Acipenserid herpesvirus 2,Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Alloherpesviridae;Ictalurivirus;Acipenserid herpesvirus 2
71,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Ictalurivirus,,Ictalurid herpesvirus 1,Species,Ictalurid herpesvirus 1,Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Alloherpesviridae;Ictalurivirus;Ictalurid herpesvirus 1
72,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Ictalurivirus,,Ictalurid herpesvirus 2,Species,Ictalurid herpesvirus 2,Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Alloherpesviridae;Ictalurivirus;Ictalurid herpesvirus 2
73,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Salmonivirus,,,Genus,Salmonivirus,Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Alloherpesviridae;Salmonivirus
74,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Salmonivirus,,Salmonid herpesvirus 1,Species,Salmonid herpesvirus 1,Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Alloherpesviridae;Salmonivirus;Salmonid herpesvirus 1
75,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Salmonivirus,,Salmonid herpesvirus 2,Species,Salmonid herpesvirus 2,Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Alloherpesviridae;Salmonivirus;Salmonid herpesvirus 2
76,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Salmonivirus,,Salmonid herpesvirus 3,Species,Salmonid herpesvirus 3,Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Alloherpesviridae;Salmonivirus;Salmonid herpesvirus 3
77,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,,,,,Family,Herpesviridae,Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae
78,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,,,,Subfamily,Alphaherpesvirinae,Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Alphaherpesvirinae
79,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Iltovirus,,,Genus,Iltovirus,Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Iltovirus
80,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Iltovirus,,Gallid alphaherpesvirus 1,Species,Gallid alphaherpesvirus 1,Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Iltovirus;Gallid alphaherpesvirus 1
81,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Iltovirus,,Psittacid alphaherpesvirus 1,Species,Psittacid alphaherpesvirus 1,Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Iltovirus;Psittacid alphaherpesvirus 1
82,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Mardivirus,,,Genus,Mardivirus,Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Mardivirus
83,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Mardivirus,,Anatid alphaherpesvirus 1,Species,Anatid alphaherpesvirus 1,Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Mardivirus;Anatid alphaherpesvirus 1
84,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Mardivirus,,Columbid alphaherpesvirus 1,Species,Columbid alphaherpesvirus 1,Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Mardivirus;Columbid alphaherpesvirus 1
85,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Mardivirus,,Gallid alphaherpesvirus 2,Species,Gallid alphaherpesvirus 2,Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Mardivirus;Gallid alphaherpesvirus 2
86,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Mardivirus,,Gallid alphaherpesvirus 3,Species,Gallid alphaherpesvirus 3,Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Mardivirus;Gallid alphaherpesvirus 3
87,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Mardivirus,,Meleagrid alphaherpesvirus 1,Species,Meleagrid alphaherpesvirus 1,Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Mardivirus;Meleagrid alphaherpesvirus 1
88,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Mardivirus,,Spheniscid alphaherpesvirus 1,Species,Spheniscid alphaherpesvirus 1,Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Mardivirus;Spheniscid alphaherpesvirus 1
89,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Scutavirus,,,Genus,Scutavirus,Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Scutavirus
